StyleNumber,ProductName,ImagePath,ImagePath2,ImagePath3,ProductDescription,MetalType,MetalColor,WholeSaleBasePrice,Gender,Categories,Collections,Weight,IsImageFromURL,PriceType
14KW6FR-P,6 mm wide Flat 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/6/ring_materials/14KW/images/1?ring_finish=SATIN&finish_type=F&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/6/ring_materials/14KW/images/2?ring_finish=SATIN&finish_type=F&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FR/widths/6/ring_materials/14KW/images/3?ring_finish=SATIN&finish_type=F&weight=P&size=10&feature_group=N,6 mm wide Flat 14K White Gold band.,14K Gold,White,861,Unisex,Men's Wedding Rings,Wedding Band,9.401,1,2
14KW7B-P,7 mm wide Beveled 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/B/widths/7/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/B/widths/7/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/B/widths/7/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,7 mm wide Beveled 14K White Gold band.,14K Gold,White,1062,Unisex,Men's Wedding Rings,Wedding Band,11.822,1,2
14KW7DGE-P,7 mm wide Domed Stepped Down Edges 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/7/ring_materials/14KW/images/1?ring_finish=ANGLESATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/7/ring_materials/14KW/images/2?ring_finish=ANGLESATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DGE/widths/7/ring_materials/14KW/images/3?ring_finish=ANGLESATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,7 mm wide Domed Stepped Down Edges 14K White Gold band.,14K Gold,White,914,Unisex,Men's Wedding Rings,Wedding Band,10.037,1,2
14KW8FGE-P,8 mm wide Flat Grooved Edges 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FGE/widths/8/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,8 mm wide Flat Grooved Edges 14K White Gold band.,14K Gold,White,1173,Unisex,Men's Wedding Rings,Wedding Band,13.152,1,2
14KW8HB-P,8 mm wide High Bevel 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/HB/widths/8/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,8 mm wide High Bevel 14K White Gold band.,14K Gold,White,1164,Unisex,Men's Wedding Rings,Wedding Band,13.042,1,2
14KW7D2.5-P,7 mm wide Domed with two accent grooves 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/7/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/7/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D2.5/widths/7/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,7 mm wide Domed with two accent grooves 14K White Gold band.,14K Gold,White,911,Unisex,Men's Wedding Rings,Wedding Band,9.999,1,2
14KW7DB-P,7 mm wide Domed Bevel 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/DB/widths/7/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DB/widths/7/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/DB/widths/7/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,7 mm wide Domed Bevel 14K White Gold band.,14K Gold,White,1106,Unisex,Men's Wedding Rings,Wedding Band,12.345,1,2
14KW7CB-P,7 mm wide Concave Bevel 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/CB/widths/7/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/CB/widths/7/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/CB/widths/7/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,7 mm wide Concave Bevel 14K White Gold band.,14K Gold,White,941,Unisex,Men's Wedding Rings,Wedding Band,10.367,1,2
14KW7D1.5OC-P,7 mm wide Domed with Off Center Accent Groove 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/D1.5OC/widths/7/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D1.5OC/widths/7/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/D1.5OC/widths/7/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,7 mm wide Domed with Off Center Accent Groove 14K White Gold band.,14K Gold,White,935,Unisex,Men's Wedding Rings,Wedding Band,10.285,1,2
14KW8FGEW-P,8 mm wide Flat Wide Grooved Edges 14K White Gold band.,https://assets.lashbrookdesigns.com/rings/profiles/FGEW/widths/8/ring_materials/14KW/images/1?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FGEW/widths/8/ring_materials/14KW/images/2?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,https://assets.lashbrookdesigns.com/rings/profiles/FGEW/widths/8/ring_materials/14KW/images/3?ring_finish=SATIN%2CPOLISH&finish_type=FS&weight=P&size=10&feature_group=N,8 mm wide Flat Wide Grooved Edges 14K White Gold band.,14K Gold,White,1133,Unisex,Men's Wedding Rings,Wedding Band,12.668,1,2
