Item#,Description,Metal,Gms,Categories,Collections,Diamond Quality,Size,Quantity OH,Price,Image
KJ00002E.RD-1-22G,14KY 1ctw (RD-0.3ctr) G+VS+ LGD EARR 2.2gms,14KY,2.16,EARR,,G+VS+,,1,511.2,
KJ00002P.RD-0.8-22G,14KY 0.8ctw (RD-0.5ctr) G+VS+ LGD PEND 1gms,14KY,0.97,PEND,,G+VS+,,1,668.4,
KJ00004P.RD-0.8-21G,14KW 0.8ctw (RD-0.5ctr) G+VS+ LGD PEND 1gms,14KW,1.02,PEND,,G+VS+,,1,523,
KJ00012M.EM-3-21F,14KW 3ctw (EM-3ctr) F+VS+ LGD RING 8.8gms,14KW,8.75,RING,MENS,F+VS+,SZ 10,1,1971,https://images.kirajewels.net/USA/KJ00012M.EM-3-21.jpg
KJ000136E.RD-1-22F,14KY 1ctw (RD-0.5ctr) F+VS+ LGD EARR 1.23gms,14KY,1.23,EARR,,F+VS+,,1,369,https://images.kirajewels.net/USA/KJ000136E.RD-1-22F.jpg
KJ00013M.RD-2-21F,14KW 2ctw (RD-2ctr) F+VS+ LGD RING 9.4gms,14KW,9.42,RING,MENS,F+VS+,SZ 10,1,1984,https://images.kirajewels.net/USA/KJ00013M.RD-2-21.png
KJ00013M.RD-2-21F,14KW 2ctw (RD-2ctr) F+VS+ LGD RING 9.4gms,14KW,9.42,RING,MENS,F+VS+,SZ 10,1,1984,https://images.kirajewels.net/USA/KJ00013M.RD-2-21.png
KJ00014M.RD-2-21F,14KW 2ctw (RD-2ctr) F+VS+ LGD RING 8.9gms,14KW,8.85,RING,MENS,F+VS+,SZ 10,1,1900,https://images.kirajewels.net/USA/KJ00014M.RD-2-21.jpg
KJ00014M.RD-2-22F,14KY 2ctw (RD-2ctr) F+VS+ LGD RING 8.9gms,14KY,8.85,RING,MENS,F+VS+,Sz 10,2,1900,https://images.kirajewels.net/USA/KJ00014M.RD-2-22.jpg
KJ00015M.RD-2-21F,14KW 2ctw (RD-2ctr) F+VS+ LGD RING 5.5gms,14KW,5.54,RING,MENS,F+VS+,SZ 10,1,1436,https://images.kirajewels.net/USA/KJ00015M.RD-2-21.png
KJ00015M.RD-2-21F,14KW 2ctw (RD-2ctr) F+VS+ LGD RING 5.5gms,14KW,5.54,RING,MENS,F+VS+,SZ 10,2,1436,https://images.kirajewels.net/USA/KJ00015M.RD-2-21.png
KJ00015M.RD-2-21F,14KW 2ctw (RD-2ctr) F+VS+ LGD RING 5.5gms,14KW,5.54,RING,MENS,F+VS+,SZ 10,1,1436,https://images.kirajewels.net/USA/KJ00015M.RD-2-21.png
KJ00015M.RD-2-22F,14KY 2ctw (RD-2ctr) F+VS+ LGD RING 5.5gms,14KY,5.54,RING,MENS,F+VS+,SZ 10,1,1436,https://images.kirajewels.net/USA/KJ00015M.RD-2-22.png
KJ00016M.RA-2-21F,14KW 2ctw (RA-2ctr) F+VS+ LGD RING 9.1gms,14KW,9.06,RING,MENS,F+VS+,SZ 10,1,1775,https://images.kirajewels.net/USA/KJ00016M.RA-2-21F.png
KJ00017M.EM-3-21F,14KW 3ctw (EM-3ctr) F+VS+ LGD RING 10gms,14KW,9.96,RING,MENS,F+VS+,SZ 10,1,2183,
KJ00017M.EM-3-T21F,14KW 3ctw (EM-3ctr) F+VS+ LGD RING 10gms,14KW,9.96,RING,MENS,F+VS+,SZ 10,1,2183,
KJ00017M.EM-3-T21F,14KW 3ctw (EM-3ctr) F+VS+ LGD RING 10gms,14KW,9.96,RING,MENS,F+VS+,SZ 10,6,2183,
KJ00017M.EM-3-T22F,14KY 3ctw (EM-3ctr) F+VS+ LGD RING 10gms,14KY,9.96,RING,MENS,F+VS+,SZ 10,2,2183,https://images.kirajewels.net/USA/KJ00017M.EM-3-22.jpg
KJ00017M.EM-3-T22G,14KY 3ctw (EM-3ctr) G+VS+ LGD RING 10gms,14KY,9.97,RING,MENS,G+VS+,Sz10,1,2118,https://images.kirajewels.net/USA/KJ00017M.EM-3-22.jpg
