Item No,Item Name,Collection,Product Type,"Department
(manual input)",Item Type,Gender,Line Status,PriceType,MSRP,UPC Code,Season,Catalog Status,MetalType,MetalColor,Case Shape,Watch Movement Type,Band Type,Band Color,Band Material,Watch Dial color,Watch crystal,Gem Type,Watch Case Diameter  (mm),Jlry Size,Jlry Dims,Length,Water Resistance (Meters),https://docs.google.com/spreadsheets/d/1_-9VqVemWseZXiEiXVuXxqIX4wOLo3l5Hhj5UnNy3rE/edit?gid=1368149032#gid=1368149032,Image Link 1,Image Link 2,IsImageFromURL
43A145,Caravelle Stainless Steel Sport Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$175.00,42429554801,2017 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Blue,Mineral Crystal,None,44,,,,0030M,"Modern yet highly functional, this chronograph features stainless steel case and bracelet with rich blue dial, luminous markers and hands. Fold-over buckle closure.",https://bulova.widen.net/content/opdpnzim9j/jpeg/43A145_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/2fhkfkihhk/jpeg/43A145_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43A157,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$125.00,42429593701,2023 SPRING,Catalog,Stainless Steel,Silver-Tone,Rectangle/Tank,Quartz,Expansion,Silver-Tone,Stainless Steel,Silver-White,Curved Mineral Crystal,None,30,,,,0030M,Easily transition from day to night with sophisticated style. Stainless steel tank shaped case with silver-white Arabic style easy-to-read dial and added dimension with a curved mineral crystal. Stainless steel comfort-fit expansion bracelet.,https://bulova.widen.net/content/b47sm07tik/jpeg/43A157.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/vkjox3tuh4/jpeg/43A157_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43B151,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$125.00,42429552623,2017 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Blue,Mineral Crystal,None,41,,,,0030M,"Elegant and perfectly refined describe this graphic dark blue dial, three-hand stainless steel watch. Featuring a textured bezel detail, date magnifier and stainless steel bracelet with double-press fold-over closure.?",https://bulova.widen.net/content/fsntc4d6b3/jpeg/43B151_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/n4xe6tvdpr/jpeg/43B151_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43B158,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$125.00,42429554672,2017 FALL,Catalog,Stainless Steel,Silver-Tone, ,Quartz,Bracelet,Silver-Tone,Stainless Steel,Black,Mineral Crystal,None,41,,,,0030M,"Perfect transition from day to evening, with its tailored lines and luminous hour indicators and hands, this versatile watch, in stainless steel with black dial, features Roman numeral and stick markers, calendar, and double-press fold-over clasp.",https://bulova.widen.net/content/dr0cmlswpf/jpeg/43B158_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/s1vkimg2pf/jpeg/43B158_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43B161,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$100.00,42429557543,2018 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Expansion,Silver-Tone,Stainless Steel,Blue,Mineral Crystal,None,40.2,,,,0030M,"Timeless design, wear-with-everything style. Three-hand date feature and easy-to-read numerals with bold 24-hour design on dark blue dial accented with metallic indexes. Stainless steel case and comfort-fit expansion bracelet.",https://bulova.widen.net/content/caaopol73f/jpeg/43B161_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/khzrxczopd/jpeg/43B161_C_rgb.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43B163,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$125.00,42429560246,2018 FALL,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Silver-White,Mineral Crystal,None,41,,,,0030M,Elegant and perfectly refined textured coin-edge bezel detail around a three-hand silver-white dial and date magnifier. Stainless steel case and bracelet with double-push fold-over closure.,https://bulova.widen.net/content/xk8ji937zh/jpeg/43B163_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/qrnf9ulexa/jpeg/43B163_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43B174,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,New,1,$125.00,42429604506,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz,Bracelet,Silver-Tone,Stainless Steel,Aqua,Mineral Crystal,None,41,,,,0030M,"Embrace a sophisticated Summer with this streamlined Caravelle men?s timepiece. This watch features a silver-tone stainless steel case with a grooved bezel for a classic luxury look. The bright and bold light blue dial is appointed with silver-tone baton indices and a matching silver-tone handset with luminescent fill for low-light legibility, while the date display is enhanced by magnifying element on the mineral crystal. The watch is completed by a matching silver-tone stainless steel bracelet with a push-button fold-over closure. Strike the balance between form and function with this exceptional Caravelle men?s timepiece.",https://bulova.widen.net/content/jcvmbh10vf/jpeg/43B174_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/yv4mk0rbkq/jpeg/jcvmbh10vf_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43C124,Caravelle Stainless Steel Classic CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,Core,1,$125.00,42429585089,2021 SPRING,Catalog,Stainless Steel,Silver-Tone,Round,Quartz with Light Up,Expansion,Silver-Tone,Stainless Steel,Parchment,Mineral Crystal,None,40,,,,0030M,"Simple, classic, easy to read gets even easier to read?in the dark.  This style has a backlit feature that illuminates the dial and is activated with a pusher at 2 o?clock.  Stainless steel case with a full Arabic parchment colored dial also features a military time inner track, day/date window, and luminous hands.  Stainless steel expansion band bracelet for easy styling.

* Case Diameter: 40mm 
* Case Thickness: 10.6mm 
* Water Resistance: 30M
* 3-Year Limited Warranty",https://bulova.widen.net/content/gdi1pdxmgx/jpeg/43C124.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/z4qemot2xh/jpeg/43C124_BACK.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43D108,Caravelle Stainless Steel Modern CAR Mens Watch,Caravelle,Caravelle,Timepieces,Watch,Mens,New,1,$175.00,42429603899,2025 SPRING,Catalog,Stainless Steel,Silver-Tone,Tonneau,Quartz,Bracelet,Silver-Tone,Stainless Steel,Navy,Metalized Curved Mineral Crystal,Diamond,33,,,,0030M,"Enhance your style with this modern Caravelle men?s watch. Contemporary design imbues this watch with a forward-looking aesthetic, with a silver-tone stainless steel case that features a metallized curved mineral crystal. Appointed with applied silver-tone hour markers and matching hands, the tiered sunray blue dial is enhanced by three diamonds. The watch?s bold form is reasserted by its matching silver-tone stainless steel bracelet with a folding push-button closure. For the true gentleman, this Caravelle men?s timepiece has no equal.",https://bulova.widen.net/content/alzyreaqpm/jpeg/43D108_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://bulova.widen.net/content/m6ktnsowvg/jpeg/alzyreaqpm_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
43L203,Caravelle Stainless Steel Classic CAR Ladies Watch,Caravelle,Caravelle,Timepieces,Watch,Ladies,Core,1,$125.00,42429552579,2017 FALL,Catalog,Stainless Steel,Silver-Tone,Rectangle/Tank,Quartz,Bracelet,Silver-Tone,Stainless Steel,Silver-White,Curved Mineral Crystal,None,21,,,,0030M,"Stylish and contemporary, showcasing Roman numerals on silver-white dial. Stainless steel case and bracelet with double-press buckle closure.",https://citizenwatch.widen.net/content/7mamdso0vg/jpeg/43L203_Catalog.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,https://citizenwatch.widen.net/content/irkyhjuoim/jpeg/43L203_Back.jpeg?w=1000&h=1000&position=c&color=ffffffff&quality=85&u=ymcvkr,1
